"taeCPUE","Avg.Relief","site.name","reef.name"
0,"1","Northern GBR 1","13-124"
0,"0","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"2","Northern GBR 1","13-124"
0,"1.2727272730000001","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0.879577099,"2","Northern GBR 1","13-124"
0,"1.181818182","Northern GBR 1","13-124"
0,"0.4","Northern GBR 1","13-124"
0.883479594,"2","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"2.8","Northern GBR 1","13-124"
0,"1.923076923","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"0","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"0.5","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0.709659271,"1.1428571430000001","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"3","Northern GBR 1","13-124"
0,"1","Northern GBR 1","13-124"
0,"3","Northern GBR 1","13-124"
0,"1.375","Northern GBR 1","13-124"
0,"2.3333333330000001","Northern GBR 1","13-124"
0,"0","Northern GBR 1","13-124"
0.721461537,"0.71428571399999996","Northern GBR 1","13-124"
0,"1.571428571","Northern GBR 1","13-124"
0,"1.5","Northern GBR 1","13-124"
0,"2","Northern GBR 1","13-124"
0,"2.1818181820000002","Northern GBR 1","13-124"
0,"1.125","Northern GBR 1","13-124"
0,"1","Northern GBR 1","Corbett Reef"
0,"0","Northern GBR 1","Corbett Reef"
0,"0.909090909","Northern GBR 1","Corbett Reef"
0,"1","Northern GBR 1","Corbett Reef"
0,"1","Northern GBR 1","Corbett Reef"
0.690400329,"0","Northern GBR 1","Corbett Reef"
